,0
LOC100130426,-0.33931652
UBE2Q2P3,-0.20439795
UBE2Q2P2,-0.1977184
HMGB1P1,0.007627509
TIMM23,0.20445904
MOXD2,-0.30887607
LOC155060,0.07524621
RNU12-2P,-0.26815844
SSX9,-0.33733818
LOC317712,-0.33411282
CXorf67,-0.2158226
EFCAB8,-0.2560652
SRP14P1,-0.22663866
LOC391343,-0.31503624
TRIM75P,-0.31731558
SPATA31B1P,-0.37399313
REXO1L6P,-0.3088944
SDR16C6P,-0.33230656
LOC553137,-0.19320902
KIAA1618,0.15147567
LOC645851,-0.17215718
RGPD7,-0.16132104
HSPB1P1,0.07454057
PPBPP1,-0.360758
FRMPD2P2,-0.29250205
ANKRD20A20P,-0.29054847
TMPRSS11E2,-0.1713473
GTPBP6,0.16944902
EFCAB12,-0.1720357
A1BG,-0.03210886
A1CF,-0.20505147
A2BP1,-0.1746805
A2LD1,-0.015573904
A2ML1,-0.09742766
A2M,0.2746748
A4GALT,0.078034125
A4GNT,-0.28652856
AAA1,-0.29541627
AAAS,0.23093572
AACSL,-0.212549
AACS,0.1437063
AADACL2,-0.30014586
AADACL3,-0.30952293
AADACL4,-0.3651332
AADAC,-0.1531434
AADAT,-0.039653692
AAGAB,0.19620842
AAK1,0.2116612
AAMP,0.22321767
AANAT,-0.26787627
AARS2,0.16940254
AARSD1,0.21111104
AARS,0.25288454
AASDHPPT,0.21317054
AASDH,0.12152504
AASS,0.09669891
AATF,0.2144779
AATK,0.032676753
ABAT,0.13651492
ABCA10,-0.17507857
ABCA11P,-0.026369577
ABCA12,-0.13083579
ABCA13,-0.08084658
ABCA17P,-0.18574013
ABCA1,0.18083905
ABCA2,0.23712729
ABCA3,0.1504482
ABCA4,-0.1578137
ABCA5,0.13123907
ABCA6,-0.13872492
ABCA7,0.14908986
ABCA8,-0.026907464
ABCA9,-0.13789374
ABCB10,0.18070498
ABCB11,-0.24264061
ABCB1,0.0084350975
ABCB4,-0.09158319
ABCB5,-0.22596708
ABCB6,0.14769925
ABCB7,0.1917644
ABCB8,0.18050845
ABCB9,0.048668064
ABCC10,0.17086716
ABCC11,-0.19753969
ABCC12,-0.28123647
ABCC13,-0.272322
ABCC1,0.17185014
ABCC2,-0.14280574
ABCC3,0.07961808
ABCC4,0.13314278
ABCC5,0.18125522
ABCC6P1,-0.18338202
ABCC6P2,-0.114187755
ABCC6,-0.066970214
ABCC8,-0.11185376
ABCC9,-0.006228923
ABCD1,0.15511388
ABCD2,-0.14332101
ABCD3,0.22058569
ABCD4,0.19193663
ABCE1,0.248329
ABCF1,0.22595443
ABCF2,0.22533296
ABCF3,0.24674383
ABCG1,0.19437683
ABCG2,-0.024221087
ABCG4,-0.19093663
ABCG5,-0.19449703
ABCG8,-0.2127995
ABHD10,0.21736944
ABHD11,0.13628863
ABHD12B,-0.18416654
ABHD12,0.22593005
ABHD13,0.17621282
ABHD14A,0.119892485
ABHD14B,0.23958497
ABHD15,0.11967409
ABHD1,-0.19561513
ABHD2,0.2812606
ABHD3,0.1854779
ABHD4,0.20570935
ABHD5,0.19278456
ABHD6,0.1010114
ABHD8,0.11754157
ABI1,0.22157586
ABI2,0.16496415
ABI3BP,0.037159286
ABI3,0.06690566
ABL1,0.23212922
ABL2,0.17338796
ABLIM1,0.25527057
ABLIM2,0.010446943
ABLIM3,0.074776754
ABO,-0.10530038
ABP1,-0.03005178
ABRA,-0.26153478
ABR,0.20679066
ABT1,0.21514195
ABTB1,0.16200677
ABTB2,0.10436336
ACAA1,0.22555755
ACAA2,0.17464986
ACACA,0.21985221
ACACB,0.11170578
ACAD10,0.1910746
ACAD11,0.13792561
ACAD8,0.14769137
ACAD9,0.24718785
ACADL,-0.10533454
ACADM,0.18638884
ACADSB,0.18683508
ACADS,0.14919387
ACADVL,0.2926132
ACAN,-0.037030287
ACAP1,-0.010176211
ACAP2,0.22434732
ACAP3,0.22579336
ACAT1,0.23338157
ACAT2,0.1512617
ACBD3,0.23502113
ACBD4,0.10176051
ACBD5,0.22705385
ACBD6,0.19425099
ACBD7,-0.0917391
ACCN1,-0.18122625
ACCN2,0.027467906
ACCN3,-0.13863261
ACCN4,-0.21291398
ACCN5,-0.3113027
ACCSL,-0.32944193
ACCS,0.0715946
ACD,0.13279623
ACE2,-0.123517275
ACER1,-0.2724009
ACER2,-0.07237659
ACER3,0.15684833
ACE,0.12943837
ACHE,-0.030938689
ACIN1,0.27086192
ACLY,0.27106336
ACMSD,-0.16153917
ACN9,0.05956432
ACO1,0.2010126
ACO2,0.2800472
ACOT11,0.055480834
ACOT12,-0.2993187
ACOT13,0.19038254
ACOT1,0.118393674
ACOT2,0.10523149
ACOT4,-0.04198638
ACOT6,-0.22549374
ACOT7,0.20748487
ACOT8,0.169318
ACOT9,0.1875244
ACOX1,0.24801053
ACOX2,-0.017733587
ACOX3,0.15632118
ACOXL,-0.21213262
ACP1,0.18718286
ACP2,0.20844863
ACP5,0.14461067
ACP6,0.10353381
ACPL2,0.109792925
ACPP,-0.07816417
ACPT,-0.28999695
ACRBP,-0.12873349
ACRC,-0.11127836
ACRV1,-0.26221827
ACR,-0.21289665
ACSBG1,-0.12365515
ACSBG2,-0.21925387
ACSF2,0.15402226
ACSF3,0.16210583
ACSL1,0.25057593
ACSL3,0.23776776
ACSL4,0.19471647
ACSL5,0.12627201
ACSL6,-0.15022765
ACSM1,-0.18379757
ACSM2A,-0.22002651
ACSM2B,-0.2285663
ACSM3,-0.050530292
ACSM4,-0.27860573
ACSM5,-0.10714318
ACSS1,0.20167547
ACSS2,0.22859468
ACSS3,-0.016254792
ACTA1,-0.20153028
ACTA2,0.22612545
ACTBL2,-0.25700328
ACTB,0.44374153
ACTC1,-0.12887436
ACTG1,0.3476754
ACTG2,0.04198567
ACTL6A,0.21668118
ACTL6B,-0.21427749
ACTL7A,-0.33880585
ACTL7B,-0.33016533
ACTL8,-0.2440691
ACTL9,-0.3417141
ACTN1,0.28972593
ACTN2,-0.15800029
ACTN3,-0.30897483
ACTN4,0.27574366
ACTR10,0.17326257
ACTR1A,0.2816036
ACTR1B,0.25132784
ACTR2,0.28387502
ACTR3B,0.0639726
ACTR3C,-0.13852526
ACTR3,0.2686287
ACTR5,0.12690973
ACTR6,0.1563448
ACTR8,0.16867527
ACTRT1,-0.3257439
ACTRT2,-0.29821572
ACVR1B,0.19242904
ACVR1C,-0.14137396
ACVR1,0.14828125
ACVR2A,0.10523937
ACVR2B,0.09847035
ACVRL1,0.1484206
ACY1,0.19017078
ACY3,-0.070607215
ACYP1,-0.023584448
ACYP2,0.03307866
ADAD1,-0.33023897
ADAD2,-0.1900459
ADAL,0.048487928
ADAM10,0.16981393
ADAM11,-0.13298173
ADAM12,0.027413469
ADAM15,0.20219685
ADAM17,0.15586752
ADAM18,-0.30933756
ADAM19,0.100849524
ADAM20,-0.22484596
ADAM21P1,-0.31583056
ADAM21,-0.24813907
ADAM22,-0.08854735
ADAM23,-0.07201564
ADAM28,0.023520268
ADAM29,-0.29871008
ADAM2,-0.27608693
ADAM30,-0.29983887
ADAM32,-0.23117292
ADAM33,-0.1329036
ADAM3A,-0.37390727
ADAM5P,-0.31606278
ADAM6,0.21382517
ADAM7,-0.28849953
ADAM8,0.07350202
ADAM9,0.23319624
ADAMDEC1,-0.09465359
ADAMTS10,-0.021050278
ADAMTS12,-0.11487533
ADAMTS13,-0.04960693
ADAMTS14,-0.03825281
ADAMTS15,-0.13867743
ADAMTS16,-0.1562964
ADAMTS17,-0.06402503
ADAMTS18,-0.2417233
ADAMTS19,-0.22207838
ADAMTS1,0.12989973
ADAMTS20,-0.23841663
ADAMTS2,0.015345539
ADAMTS3,-0.11607203
ADAMTS4,0.089952685
ADAMTS5,-0.013364671
ADAMTS6,-0.09636638
ADAMTS7,-0.018398838
ADAMTS8,-0.1210249
ADAMTS9,0.04875935
ADAMTSL1,-0.05964359
ADAMTSL2,0.054628987
ADAMTSL3,-0.040879056
ADAMTSL4,0.10022437
ADAMTSL5,-0.104021035
ADAP1,0.11272948
ADAP2,0.070321344
ADARB1,0.15611137
ADARB2,-0.19079018
ADAR,0.32585174
ADAT1,0.06158361
ADAT2,0.060105886
ADAT3,-0.07122931
ADA,0.05959105
ADCK1,0.10461617
ADCK2,0.15983887
ADCK4,0.1717237
ADCK5,0.09215565
ADCY10,-0.26312032
ADCY1,0.014044021
ADCY2,-0.07000342
ADCY3,0.19061753
ADCY4,-0.021993477
ADCY5,-0.095617905
ADCY6,0.15693218
ADCY7,0.17567766
ADCY8,-0.19433935
ADCY9,0.1434243
ADCYAP1R1,-0.19134721
ADCYAP1,-0.17810062
ADC,0.0043495935
ADD1,0.2564268
ADD2,-0.083806336
ADD3,0.19176047
ADH1A,-0.21471292
ADH1B,-0.05750342
ADH1C,-0.12374276
ADH4,-0.19593304
ADH5,0.26115385
ADH6,-0.14743145
ADH7,-0.22684231
ADHFE1,-0.011956894
ADI1,0.22196463
ADIG,-0.2680599
ADIPOQ,-0.23866509
ADIPOR1,0.28421608
ADIPOR2,0.22923736
ADK,0.15167432
ADM2,-0.0066870498
ADM,0.10066946
ADNP2,0.1995589
ADNP,0.23774204
ADORA1,-0.03034486
ADORA2A,-0.0056050047
ADORA2B,-0.06107619
ADORA3,-0.01081919
ADO,0.16145782
ADPGK,0.18981856
ADPRHL1,-0.08286184
ADPRHL2,0.20230332
ADPRH,0.06743102
ADRA1A,-0.19857652
ADRA1B,-0.14264627
ADRA1D,-0.16036908
ADRA2A,-0.014268023
ADRA2B,-0.11676278
ADRA2C,-0.08266185
ADRB1,-0.1162817
ADRB2,-0.057377107
ADRB3,-0.2558661
ADRBK1,0.25588423
ADRBK2,0.18703726
ADRM1,0.1943383
ADSL,0.1864535
ADSSL1,-0.0030203643
ADSS,0.1953298
