,0
LOC100130426,-0.18697493
UBE2Q2P3,-0.08956428
UBE2Q2P2,-0.073335946
HMGB1P1,-0.002850297
TIMM23,0.05760267
MOXD2,-0.20782937
LOC155060,-0.018296598
RNU12-2P,-0.2150765
SSX9,-0.19690019
LOC317712,-0.20946573
CXorf67,-0.15126099
EFCAB8,-0.16055092
SRP14P1,-0.08872604
LOC391343,-0.22078088
TRIM75P,-0.15156919
SPATA31B1P,-0.16185187
REXO1L6P,-0.21369587
SDR16C6P,-0.14589514
LOC553137,-0.119596116
KIAA1618,0.06582593
LOC645851,-0.0718782
RGPD7,-0.093552455
HSPB1P1,0.054654744
PPBPP1,-0.20420992
FRMPD2P2,-0.20843813
ANKRD20A20P,-0.15873708
TMPRSS11E2,-0.081363276
GTPBP6,0.11503065
EFCAB12,-0.039636362
A1BG,0.032354407
A1CF,-0.12622176
A2BP1,-0.15487655
A2LD1,0.04399221
A2ML1,-0.09913907
A2M,0.17102854
A4GALT,0.047917824
A4GNT,-0.18011595
AAA1,-0.1804821
AAAS,0.09957152
AACSL,-0.1280741
AACS,0.073139496
AADACL2,-0.121234596
AADACL3,-0.1287024
AADACL4,-0.16570555
AADAC,-0.04655458
AADAT,0.0044179084
AAGAB,0.13714857
AAK1,0.12559569
AAMP,0.14023966
AANAT,-0.20561926
AARS2,0.08523716
AARSD1,0.08239445
AARS,0.11106351
AASDHPPT,0.11049323
AASDH,0.031775493
AASS,0.11381298
AATF,0.077699855
AATK,-0.01836062
ABAT,0.10668026
ABCA10,-0.041253634
ABCA11P,-0.014945303
ABCA12,-0.11196969
ABCA13,-0.037937526
ABCA17P,-0.12138655
ABCA1,0.11835067
ABCA2,0.15323913
ABCA3,0.06625177
ABCA4,-0.051077977
ABCA5,0.084706664
ABCA6,0.005117501
ABCA7,0.06805801
ABCA8,0.038571984
ABCA9,-0.0028720524
ABCB10,0.05051504
ABCB11,-0.064186186
ABCB1,0.04989982
ABCB4,-0.017911885
ABCB5,-0.091174625
ABCB6,0.095157854
ABCB7,0.055583492
ABCB8,0.12525709
ABCB9,-0.025184022
ABCC10,0.051702768
ABCC11,-0.07237831
ABCC12,-0.11226993
ABCC13,-0.093220375
ABCC1,0.065234795
ABCC2,-0.050100345
ABCC3,0.08492134
ABCC4,0.06663518
ABCC5,0.0521436
ABCC6P1,-0.045058496
