Genes	Process	name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
10215; 83482;	GO:0000122	negative regulation of transcription by RNA polymerase II	2	774	0.258397932816538	0.894430360302235	0.91679111930979	1	1	0.951133176548044	0.951133176548044	1
2785;	GO:0000187	activation of MAPK activity	1	117	0.854700854700855	0.437284666796186	0.496486283223977	1	1	0.951133176548044	0.951133176548044	1
10297;	GO:0000226	microtubule cytoskeleton organization	1	101	0.99009900990099	0.39153981848192	0.455767170409554	1	1	0.951133176548044	0.951133176548044	1
84530; 11189;	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	2	46	4.34782608695652	0.0227026292174961	0.102993362737104	1	1	0.951133176548044	0.951133176548044	0.668361699545734
1016;	GO:0000902	cell morphogenesis	1	91	1.0989010989011	0.361099347045361	0.428442633632599	1	1	0.951133176548044	0.951133176548044	1
1463; 63827;	GO:0001501	skeletal system development	2	134	1.49253731343284	0.141078470899422	0.221710707150005	1	1	0.951133176548044	0.951133176548044	1
51046;	GO:0001574	ganglioside biosynthetic process	1	10	10	0.0520565672824588	0.138193333289405	1	1	0.951133176548044	0.951133176548044	0.896787216657436
55515;	GO:0001662	behavioral fear response	1	30	3.33333333333333	0.139924021913819	0.221596412387121	1	1	0.951133176548044	0.951133176548044	1
10297;	GO:0001708	cell fate specification	1	19	5.26315789473684	0.0926455249139971	0.177130563177539	1	1	0.951133176548044	0.951133176548044	1
460; 1641;	GO:0001764	neuron migration	2	103	1.94174757281553	0.0921732018205316	0.177130563177539	1	1	0.951133176548044	0.951133176548044	1
26045;	GO:0002091	negative regulation of receptor internalization	1	7	14.2857142857143	0.0381314611403215	0.125629546078381	1	1	0.951133176548044	0.951133176548044	0.81525619417276
29106;	GO:0002576	platelet degranulation	1	124	0.806451612903226	0.456211323948497	0.516386437230047	1	1	0.951133176548044	0.951133176548044	1
51412;	GO:0006325	chromatin organization	1	130	0.769230769230769	0.471931602025051	0.526111060867806	1	1	0.951133176548044	0.951133176548044	1
51412;	GO:0006338	chromatin remodeling	1	115	0.869565217391304	0.431758265873553	0.491724691689325	1	1	0.951133176548044	0.951133176548044	1
51412; 5455; 4661; 10215; 116448; 83482;	GO:0006351	transcription, DNA-templated	6	1738	0.345224395857307	0.85899972667131	0.882927295659368	1	1	0.951133176548044	0.951133176548044	1
4661; 83482;	GO:0006355	regulation of transcription, DNA-templated	2	947	0.211193241816262	0.947914621830791	0.950490476781418	1	1	0.951133176548044	0.951133176548044	1
51412; 5454; 4661; 116448; 5992;	GO:0006357	regulation of transcription by RNA polymerase II	5	1213	0.412201154163232	0.710490368238612	0.749059845371565	1	1	0.951133176548044	0.951133176548044	1
5454; 5992;	GO:0006366	transcription by RNA polymerase II	2	605	0.330578512396694	0.797251283778396	0.826364392455697	1	1	0.951133176548044	0.951133176548044	1
1996;	GO:0006396	RNA processing	1	77	1.2987012987013	0.315934651102408	0.386026113433075	1	1	0.951133176548044	0.951133176548044	1
84530; 1996; 11189;	GO:0006397	mRNA processing	3	168	1.78571428571429	0.0505008691500264	0.138193333289405	1	1	0.951133176548044	0.951133176548044	0.896787216657436
6000;	GO:0006457	protein folding	1	188	0.531914893617021	0.602493748125203	0.650059044029825	1	1	0.951133176548044	0.951133176548044	1
221938;	GO:0006468	protein phosphorylation	1	464	0.21551724137931	0.898249202877279	0.918155002387025	1	1	0.951133176548044	0.951133176548044	1
347731;	GO:0006469	negative regulation of protein kinase activity	1	104	0.961538461538462	0.400388721621496	0.463145574540225	1	1	0.951133176548044	0.951133176548044	1
51046;	GO:0006486	protein glycosylation	1	87	1.14942528735632	0.348505276646809	0.416176204151043	1	1	0.951133176548044	0.951133176548044	1
51046;	GO:0006491	N-glycan processing	1	17	5.88235294117647	0.083777116024585	0.168009542462347	1	1	0.951133176548044	0.951133176548044	1
4978;	GO:0006501	C-terminal protein lipidation	1	73	1.36986301369863	0.302459586409567	0.378330804695356	1	1	0.951133176548044	0.951133176548044	1
10368;	GO:0006605	protein targeting	1	41	2.4390243902439	0.184762389447543	0.265173530336369	1	1	0.951133176548044	0.951133176548044	1
283576;	GO:0006612	protein targeting to membrane	1	46	2.17391304347826	0.204370784678509	0.278276086886973	1	1	0.951133176548044	0.951133176548044	1
163404;	GO:0006644	phospholipid metabolic process	1	54	1.85185185185185	0.234777398326665	0.31388717384978	1	1	0.951133176548044	0.951133176548044	1
51046;	GO:0006688	glycosphingolipid biosynthetic process	1	9	11.1111111111111	0.0474371850266357	0.137829301376603	1	1	0.951133176548044	0.951133176548044	0.89442488008095
78997;	GO:0006749	glutathione metabolic process	1	45	2.22222222222222	0.20048682463311	0.277016426023159	1	1	0.951133176548044	0.951133176548044	1
85300;	GO:0006798	polyphosphate catabolic process	1	4	25	0.0240038731582409	0.102993362737104	1	1	0.951133176548044	0.951133176548044	0.668361699545734
3746;	GO:0006813	potassium ion transport	1	76	1.31578947368421	0.312590242434654	0.384009046360718	1	1	0.951133176548044	0.951133176548044	1
6328;	GO:0006814	sodium ion transport	1	85	1.17647058823529	0.342116389181948	0.409873206519931	1	1	0.951133176548044	0.951133176548044	1
10368; 59284;	GO:0006816	calcium ion transport	2	82	2.4390243902439	0.0627581090926017	0.152353567468224	1	1	0.951133176548044	0.951133176548044	0.988678168949952
57709;	GO:0006865	amino acid transport	1	35	2.85714285714286	0.160599945882917	0.239924615509297	1	1	0.951133176548044	0.951133176548044	1
478;	GO:0006883	cellular sodium ion homeostasis	1	18	5.55555555555556	0.0882219949067566	0.172242942437001	1	1	0.951133176548044	0.951133176548044	1
22895;	GO:0006886	intracellular protein transport	1	294	0.340136054421769	0.763947317271186	0.801463323947927	1	1	0.951133176548044	0.951133176548044	1
2890;	GO:0006888	ER to Golgi vesicle-mediated transport	1	190	0.526315789473684	0.60637344335366	0.65233761107143	1	1	0.951133176548044	0.951133176548044	1
3798;	GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	1	81	1.23456790123457	0.329151958141055	0.396918537758331	1	1	0.951133176548044	0.951133176548044	1
10814;	GO:0006904	vesicle docking involved in exocytosis	1	38	2.63157894736842	0.172768500433013	0.253990345258095	1	1	0.951133176548044	0.951133176548044	1
6860; 22895;	GO:0006906	vesicle fusion	2	71	2.8169014084507	0.0489431531125701	0.138193333289405	1	1	0.951133176548044	0.951133176548044	0.896787216657436
85300;	GO:0006915	apoptotic process	1	540	0.185185185185185	0.930313187725489	0.940011319933186	1	1	0.951133176548044	0.951133176548044	1
23418;	GO:0007009	plasma membrane organization	1	12	8.33333333333333	0.0612289019715984	0.150172267565198	1	1	0.951133176548044	0.951133176548044	0.974522913973699
51412; 1496;	GO:0007010	cytoskeleton organization	2	160	1.25	0.185405882999412	0.265173530336369	1	1	0.951133176548044	0.951133176548044	1
3798;	GO:0007018	microtubule-based movement	1	126	0.793650793650794	0.461502223641561	0.519190001596756	1	1	0.951133176548044	0.951133176548044	1
81551;	GO:0007019	microtubule depolymerization	1	14	7.14285714285714	0.0703133638315967	0.155363061400354	1	1	0.951133176548044	0.951133176548044	1
10297;	GO:0007026	negative regulation of microtubule depolymerization	1	23	4.34782608695652	0.110128179209321	0.196315449894877	1	1	0.951133176548044	0.951133176548044	1
1016;	GO:0007043	cell-cell junction assembly	1	36	2.77777777777778	0.164675692686062	0.244037472293802	1	1	0.951133176548044	0.951133176548044	1
57795;	GO:0007050	cell cycle arrest	1	140	0.714285714285714	0.497138290816477	0.545964372950238	1	1	0.951133176548044	0.951133176548044	1
54212;	GO:0007154	cell communication	1	28	3.57142857142857	0.131513187863543	0.216644492507355	1	1	0.951133176548044	0.951133176548044	1
1463; 1826; 4974; 4978; 7143; 63827; 56098;	GO:0007155	cell adhesion	7	464	1.50862068965517	0.00800778733952101	0.0758763641594605	1	1	0.75335372750628	0.951133176548044	0.492389551688059
1826; 1016; 56098;	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	3	157	1.91082802547771	0.0428971203644563	0.129746208315446	1	1	0.951133176548044	0.951133176548044	0.841970725052227
