Genes	Process	name	num_of_Genes	gene_group	percentage%	P-value	Benjamini and Hochberg (FDR)	 Hommel singlewise process	Bonferroni single-step process	Hommel singlewise process	Hochberg step-up process	Benjamini and Yekutieli
23194;	GO:0000086	G2/M transition of mitotic cell cycle	1	130	0.769230769230769	0.471931602025051	0.486109804660997	1	1	0.907423808073593	0.907423808073593	1
2099; 2737; 2260; 2625; 5396; 7291; 165; 29995;	GO:0000122	negative regulation of transcription by RNA polymerase II	8	774	1.03359173126615	0.0361549065072999	0.0826325117262046	1	1	0.907423808073592	0.907423808073593	0.615171755644577
2260;	GO:0000165	MAPK cascade	1	269	0.371747211895911	0.733009239500559	0.737619360503707	1	1	0.907423808073593	0.907423808073593	1
7043;	GO:0000187	activation of MAPK activity	1	117	0.854700854700855	0.437284666796186	0.452363448409848	1	1	0.907423808073593	0.907423808073593	1
23194;	GO:0000209	protein polyubiquitination	1	239	0.418410041841004	0.690547390424805	0.696350309672072	1	1	0.907423808073593	0.907423808073593	1
83987;	GO:0000226	microtubule cytoskeleton organization	1	101	0.99009900990099	0.39153981848192	0.408119680502327	1	1	0.907423808073593	0.907423808073593	1
23194;	GO:0000278	mitotic cell cycle	1	122	0.819672131147541	0.450868964502996	0.465413124648254	1	1	0.907423808073593	0.907423808073593	1
348; 347;	GO:0000302	response to reactive oxygen species	2	12	16.6666666666667	0.00203778608079697	0.0216852801389006	1	1	0.425897290886566	0.907423808073593	0.161439747818551
60681;	GO:0000412	histone peptidyl-prolyl isomerization	1	1	100	0.00967088926059922	0.0507325338260943	1	1	0.695125100453372	0.907423808073593	0.377686956987405
60681;	GO:0000413	protein peptidyl-prolyl isomerization	1	41	2.4390243902439	0.184762389447543	0.216307187645904	1	1	0.907423808073593	0.907423808073593	1
1513;	GO:0000422	autophagy of mitochondrion	1	41	2.4390243902439	0.184762389447543	0.216307187645904	1	1	0.907423808073593	0.907423808073593	1
1277; 1281; 1290; 1278; 2260; 4318; 1311; 10631; 165; 2134; 1303;	GO:0001501	skeletal system development	11	134	8.2089552238806	1.17101439656153e-10	2.24834764139814e-08	1.11948976311282e-07	1.12417382069907e-07	1.11948976311282e-07	1.11948976311282e-07	1.67382055436132e-07
