,0
TCGA-2A-A8VL-01A-21R-A37L-07,-0.052071534
TCGA-2A-A8VO-01A-11R-A37L-07,-0.048652444
TCGA-2A-A8VT-01A-11R-A37L-07,-0.057580236
TCGA-2A-A8VV-01A-11R-A37L-07,-0.05937692
TCGA-2A-A8VX-01A-11R-A37L-07,-0.083910875
TCGA-2A-A8W1-01A-11R-A37L-07,-0.121159725
TCGA-2A-A8W3-01A-11R-A37L-07,-0.058125168
TCGA-2A-AAYF-01A-11R-A41O-07,-0.08252598
TCGA-2A-AAYO-01A-11R-A41O-07,-0.025343705
TCGA-2A-AAYU-01A-11R-A41O-07,-0.06500922
TCGA-4L-AA1F-01A-11R-A41O-07,0.0038709126
TCGA-CH-5737-01A-11R-1580-07,-0.07128239
TCGA-CH-5738-01A-11R-1580-07,-0.02600295
TCGA-CH-5739-01A-11R-1580-07,-0.05647469
TCGA-CH-5740-01A-11R-1580-07,-0.048365578
TCGA-CH-5741-01A-11R-1580-07,-0.09556513
TCGA-CH-5743-01A-21R-1580-07,-0.010294204
TCGA-CH-5744-01A-11R-1580-07,-0.048454847
TCGA-CH-5745-01A-11R-1580-07,-0.034820564
TCGA-CH-5746-01A-11R-1580-07,-0.04646849
TCGA-CH-5748-01A-11R-1580-07,-0.07209508
TCGA-CH-5750-01A-11R-1580-07,-0.056909047
TCGA-CH-5751-01A-11R-1580-07,-0.046725754
TCGA-CH-5752-01A-11R-1580-07,-0.084627934
TCGA-CH-5753-01A-11R-1580-07,-0.067443624
TCGA-CH-5754-01A-11R-1580-07,-0.021774344
TCGA-CH-5761-01A-11R-1580-07,-0.06634632
TCGA-CH-5762-01A-11R-1580-07,-0.03679555
TCGA-CH-5763-01A-11R-1580-07,-0.026331645
TCGA-CH-5764-01A-21R-1580-07,-0.06067101
TCGA-CH-5765-01A-11R-1580-07,-0.07902291
TCGA-CH-5766-01A-11R-1580-07,-0.036642995
TCGA-CH-5767-01A-11R-1789-07,-0.08970144
TCGA-CH-5768-01A-11R-1580-07,-0.068012565
TCGA-CH-5769-01A-11R-1580-07,-0.05038351
TCGA-CH-5771-01A-21R-1580-07,-0.012532793
TCGA-CH-5772-01A-11R-1580-07,-0.07379765
TCGA-CH-5788-01A-11R-1580-07,-0.113522284
TCGA-CH-5789-01A-11R-1580-07,-0.048564363
TCGA-CH-5790-01A-11R-1580-07,-0.07396901
TCGA-CH-5791-01A-11R-1580-07,-0.071926564
TCGA-CH-5792-01A-11R-1580-07,-0.017139617
TCGA-CH-5794-01A-11R-1580-07,-0.05542137
TCGA-EJ-5494-01A-01R-1580-07,-0.034288388
TCGA-EJ-5495-01A-01R-1580-07,-0.016635437
TCGA-EJ-5496-01A-01R-1580-07,-0.07691015
TCGA-EJ-5497-01A-02R-1580-07,-0.040379904
TCGA-EJ-5498-01A-01R-1580-07,-0.029902976
TCGA-EJ-5499-01A-01R-1580-07,-0.059735484
TCGA-EJ-5501-01A-01R-1580-07,-0.040913396
TCGA-EJ-5502-01A-01R-1580-07,-0.013321358
TCGA-EJ-5503-01A-01R-1580-07,-0.019986847
TCGA-EJ-5504-01A-01R-1580-07,-0.05317318
TCGA-EJ-5505-01A-01R-1580-07,-0.06483036
TCGA-EJ-5506-01A-01R-1580-07,-0.048936665
TCGA-EJ-5507-01A-01R-1580-07,-0.047381677
TCGA-EJ-5508-01A-02R-1580-07,-0.03391418
TCGA-EJ-5509-01A-01R-1580-07,-0.023385875
TCGA-EJ-5510-01A-01R-1580-07,-0.04414241
TCGA-EJ-5511-01A-01R-1580-07,-0.060218528
TCGA-EJ-5512-01A-01R-1580-07,-0.050253473
TCGA-EJ-5514-01A-01R-1580-07,-0.038598057
TCGA-EJ-5515-01A-01R-1580-07,-0.05366785
TCGA-EJ-5516-01A-01R-1580-07,-0.047275525
TCGA-EJ-5517-01A-01R-1580-07,-0.06679239
TCGA-EJ-5518-01A-01R-1580-07,-0.04582053
TCGA-EJ-5519-01A-01R-1580-07,-0.06891099
TCGA-EJ-5521-01A-01R-1580-07,-0.04256946
TCGA-EJ-5522-01A-01R-1580-07,-0.042260468
TCGA-EJ-5524-01A-01R-1580-07,-0.04578778
TCGA-EJ-5525-01A-01R-1580-07,-0.076641746
TCGA-EJ-5526-01A-01R-1580-07,-0.03570705
TCGA-EJ-5527-01A-01R-1580-07,-0.04061057
TCGA-EJ-5530-01A-01R-1580-07,-0.050565593
TCGA-EJ-5531-01A-01R-1580-07,-0.031137995
TCGA-EJ-5532-01A-01R-1580-07,-0.0663727
TCGA-EJ-5542-01A-01R-1580-07,-0.056005094
TCGA-EJ-7115-01A-11R-2118-07,-0.041883986
TCGA-EJ-7123-01A-11R-1965-07,-0.07195705
TCGA-EJ-7125-01A-11R-1965-07,-0.085576646
TCGA-EJ-7218-01B-11R-A32O-07,-0.06261175
TCGA-EJ-7312-01B-21R-A32O-07,-0.06420462
TCGA-EJ-7314-01A-31R-2118-07,-0.07586452
TCGA-EJ-7315-01A-31R-2118-07,-0.045863096
TCGA-EJ-7317-01A-31R-2118-07,-0.08600099
TCGA-EJ-7318-01B-11R-A32O-07,-0.052492093
TCGA-EJ-7321-01A-31R-2263-07,-0.06980948
TCGA-EJ-7325-01B-11R-A32O-07,-0.07056587
TCGA-EJ-7327-01A-11R-2118-07,-0.036884505
TCGA-EJ-7328-01A-31R-2118-07,-0.0097348
TCGA-EJ-7330-01A-11R-2118-07,-0.021029234
TCGA-EJ-7331-01A-11R-2118-07,-0.03676296
TCGA-EJ-7781-01A-11R-2118-07,-0.044123616
TCGA-EJ-7782-01A-11R-2118-07,-0.049044482
TCGA-EJ-7783-01A-11R-2118-07,-0.016163109
TCGA-EJ-7784-01A-11R-2118-07,-0.0645119
TCGA-EJ-7785-01A-11R-2118-07,-0.023958664
TCGA-EJ-7786-01A-11R-2118-07,-0.048776202
TCGA-EJ-7788-01A-11R-2118-07,-0.056686245
TCGA-EJ-7789-01A-11R-2118-07,-0.07403579
TCGA-EJ-7791-01A-11R-2118-07,-0.015747653
TCGA-EJ-7792-01A-11R-2118-07,-0.015608602
TCGA-EJ-7793-01A-31R-2263-07,-0.06470726
TCGA-EJ-7794-01A-11R-2118-07,-0.030082896
TCGA-EJ-7797-01A-11R-2263-07,-0.04179147
TCGA-EJ-8468-01A-21R-2403-07,-0.031752437
