,0
TCGA-CH-5761-11A-01R-1580-07,-0.08479839
TCGA-CH-5767-11B-01R-1789-07,-0.05484062
TCGA-CH-5768-11A-01R-1580-07,-0.09671689
TCGA-CH-5769-11A-01R-1580-07,-0.08760711
TCGA-EJ-7115-11A-01R-2118-07,-0.07466246
TCGA-EJ-7123-11A-01R-1965-07,-0.081299946
TCGA-EJ-7125-11A-01R-1965-07,-0.07849152
TCGA-EJ-7314-11A-01R-2118-07,-0.07372586
TCGA-EJ-7315-11A-01R-2118-07,-0.042399913
TCGA-EJ-7317-11A-01R-2118-07,-0.09920455
TCGA-EJ-7321-11A-01R-2263-07,-0.0597859
TCGA-EJ-7327-11A-01R-2118-07,-0.11835804
TCGA-EJ-7328-11A-01R-2118-07,-0.06287929
TCGA-EJ-7330-11A-01R-2118-07,-0.046444844
TCGA-EJ-7331-11A-01R-2118-07,-0.06652951
TCGA-EJ-7781-11A-01R-2118-07,-0.052159537
TCGA-EJ-7782-11A-01R-2118-07,-0.04385068
TCGA-EJ-7783-11A-01R-2118-07,-0.07562062
TCGA-EJ-7784-11A-01R-2118-07,-0.058930334
TCGA-EJ-7785-11A-01R-2118-07,-0.05886541
TCGA-EJ-7786-11A-01R-2118-07,-0.059375327
TCGA-EJ-7789-11A-01R-2118-07,-0.061941773
TCGA-EJ-7792-11A-01R-2118-07,-0.055864688
TCGA-EJ-7793-11A-01R-2263-07,-0.07222017
TCGA-EJ-7794-11A-01R-2118-07,-0.03913738
TCGA-EJ-7797-11A-01R-2263-07,-0.067016445
TCGA-EJ-A8FO-11A-11R-A36G-07,-0.050991103
TCGA-G9-6333-11A-01R-1965-07,-0.069939345
TCGA-G9-6342-11A-02R-1965-07,-0.09124377
TCGA-G9-6348-11A-01R-1789-07,-0.075883
TCGA-G9-6351-11A-01R-1965-07,-0.09942784
TCGA-G9-6356-11A-01R-1789-07,-0.08387742
TCGA-G9-6362-11A-01R-1789-07,-0.113069214
TCGA-G9-6363-11A-01R-1789-07,-0.080508836
TCGA-G9-6365-11A-01R-1789-07,-0.068140544
TCGA-G9-6384-11A-01R-1858-07,-0.09926395
TCGA-G9-6496-11A-01R-1789-07,-0.069293365
TCGA-G9-6499-11A-02R-1965-07,-0.09340485
TCGA-HC-7211-11A-01R-2118-07,-0.10881242
TCGA-HC-7737-11A-02R-2118-07,-0.08397155
TCGA-HC-7738-11A-01R-2118-07,-0.08844974
TCGA-HC-7740-11A-01R-2118-07,-0.07203067
TCGA-HC-7742-11A-01R-2118-07,-0.09086084
TCGA-HC-7745-11A-01R-2118-07,-0.08541633
TCGA-HC-7747-11A-01R-2118-07,-0.10773707
TCGA-HC-7752-11A-01R-2118-07,-0.061963506
TCGA-HC-7819-11A-01R-2118-07,-0.09271918
TCGA-HC-8258-11A-01R-2263-07,-0.10467859
TCGA-HC-8259-11A-01R-2263-07,-0.08240728
TCGA-HC-8260-11A-01R-2263-07,-0.089429244
TCGA-HC-8262-11A-01R-2263-07,-0.06514118
TCGA-J4-A83J-11A-11R-A36G-07,-0.032243863
TCGA-FU-A3EO-11A-13R-A213-07,-0.12549295
TCGA-HM-A3JJ-11A-12R-A21T-07,-0.124209255
TCGA-MY-A5BF-11A-11R-A26T-07,-0.07783222
TCGA-H6-8124-11A-01R-2404-07,-0.03384881
TCGA-H6-A45N-11A-12R-A26U-07,-0.061144643
TCGA-HV-A5A3-11A-11R-A26U-07,-0.0457726
TCGA-YB-A89D-11A-11R-A36G-07,-0.025909496
TCGA-A7-A0CE-11A-21R-A089-07,-0.038471837
TCGA-A7-A0CH-11A-32R-A089-07,-0.048820894
TCGA-A7-A0D9-11A-53R-A089-07,-0.11840603
TCGA-A7-A0DB-11A-33R-A089-07,-0.11415463
TCGA-A7-A13E-11A-61R-A12P-07,-0.08074607
TCGA-A7-A13F-11A-42R-A12P-07,-0.069397904
TCGA-A7-A13G-11A-51R-A13Q-07,-0.14199737
TCGA-AC-A23H-11A-12R-A157-07,-0.06909537
TCGA-AC-A2FB-11A-13R-A17B-07,-0.057242345
TCGA-AC-A2FF-11A-13R-A17B-07,-0.038163066
TCGA-AC-A2FM-11B-32R-A19W-07,-0.052249264
TCGA-BH-A0AU-11A-11R-A12P-07,-0.056777947
