,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-CH-5761-11A-01R-1580-07,-0.15532213,0.033345208,-0.21627273,0.32064295,0.057964403,-0.5434139,-0.17286028,-0.06323252,-0.31392768,0.21737242,-0.06691769,0.23751505,-0.18804894,0.18560217,-0.08143622,-0.18061134,0.06424068,-0.18528804,-0.0148439985,-0.27215454,0.1655584,0.2579457,0.18876319,0.4130147,-0.19671552,0.011055098,0.19309224,0.40675455,0.099377126,-0.028137978,0.17791551,-0.17110741,0.25502363,0.24430725,-0.17875248,-0.27853665,-0.27439559,-0.34027183,-0.1764119,-0.10667285,0.28549725,-0.23279883,0.06476394,-0.30227643,0.28550786,-0.23404643,-0.051302344,0.05083219,-0.07941514,-0.31538117
TCGA-CH-5767-11B-01R-1789-07,-0.044316314,-0.06526859,-0.21136501,0.33190218,0.04842958,-0.4770742,-0.27216232,-0.14178716,-0.45177633,0.21853478,-0.1350545,0.24606471,-0.17257828,0.23095694,0.023520296,-0.19178678,0.044197503,-0.16443588,-0.04566967,-0.22948606,0.0956925,0.18740462,0.13343221,0.30606833,-0.1317603,-0.031101367,0.17200842,0.33722585,0.11836598,-0.07022026,0.09609203,-0.1768663,0.24909365,0.16290545,-0.1331167,-0.21895353,-0.2598489,-0.3034514,-0.12900212,-0.08915281,0.23113902,-0.20939316,0.124907196,-0.27199784,0.3355138,-0.2798201,-0.022435011,0.13876882,-0.14475317,-0.29313856
TCGA-CH-5768-11A-01R-1580-07,-0.1582862,0.08713104,-0.27326086,0.36765075,0.04450883,-0.63609695,-0.17145573,-0.19775888,-0.28012127,0.1964027,-0.08083059,0.20791602,-0.15721624,0.22916783,-0.09431827,-0.11095879,0.08893449,-0.22921622,-0.043906335,-0.2433762,0.047482304,0.2226273,0.13023247,0.46819416,-0.24166387,0.035405077,0.20125361,0.44032478,0.10197127,-0.03939697,0.1862811,-0.4298157,0.34564984,0.28782475,-0.16297618,-0.27671048,-0.22669648,-0.3517203,-0.19147694,0.12213826,0.2492328,-0.28162715,0.113076955,-0.3114802,0.21486917,-0.14042917,-0.10634684,0.047031276,-0.11531452,-0.28736675
TCGA-CH-5769-11A-01R-1580-07,-0.06270642,0.0025883773,-0.17958237,0.25011942,0.040032588,-0.38007754,-0.19276533,-0.028501276,-0.25720996,0.19712332,-0.029180657,0.14672084,-0.17820053,0.16262797,-0.16752246,-0.21034528,0.01460293,-0.19177291,0.032225493,-0.19351041,0.15249394,0.2366302,0.24738948,0.2877689,-0.1662504,-0.021171385,0.23477834,0.29920757,0.1326795,-0.036181558,0.12444584,-0.12869152,0.24987245,0.26554266,-0.21116501,-0.237039,-0.2657929,-0.33134335,-0.1229127,0.0014838276,0.27054265,-0.24672878,0.15061435,-0.34206954,0.30553097,-0.20768456,-0.057397075,0.116534725,-0.10756145,-0.25925046
TCGA-EJ-7115-11A-01R-2118-07,-0.1575111,0.012232105,-0.18740092,0.34323972,0.06336275,-0.6012021,-0.17534553,-0.1914254,-0.3173673,0.15294017,-0.011640384,0.24704988,-0.17845649,0.28972483,-0.031760782,-0.2173581,0.056320693,-0.18846251,-0.095034406,-0.1649299,0.11217736,0.2158177,0.056482177,0.28683135,-0.19208218,0.019480202,0.22302651,0.4209816,0.06389198,0.0067490074,0.12492241,-0.28011405,0.271607,0.25018448,-0.1845013,-0.27503556,-0.24743824,-0.35601214,-0.22559696,0.02294993,0.19780776,-0.26584566,0.14084516,-0.3135657,0.27559412,-0.1464212,-0.11379698,0.101727664,-0.12719573,-0.31412908
TCGA-EJ-7123-11A-01R-1965-07,-0.14881144,-0.13271917,0.141877,0.36106217,0.019231595,-0.476432,-0.30931187,-0.21637848,-0.29486284,-0.053071696,0.14055744,0.31548753,-0.20450495,0.39001665,0.19480707,-0.40657002,-0.07882336,-0.17475595,-0.05153843,-0.05972252,0.13254225,0.23249188,-0.3870517,0.07221854,-0.22082432,-0.023941744,0.21502969,0.34908593,0.11929845,-0.09655412,0.1276746,-0.47776195,0.27599603,0.27332154,-0.15610653,-0.23304762,-0.17021112,-0.18278663,-0.18004405,0.06711588,0.17155828,-0.25494927,0.21473677,-0.24861912,0.19704352,-0.19231732,-0.20459516,0.075749405,-0.3082988,0.0325066
TCGA-EJ-7125-11A-01R-1965-07,-0.19540799,0.001494801,-0.29655004,0.38150537,0.0024080407,-0.63751405,-0.18584985,-0.21413359,-0.17892462,0.061971493,0.03903607,-0.08945842,-0.2119468,0.41616535,-0.06600572,-0.15321864,-0.0028720596,-0.2832235,-0.2665654,-0.09410268,0.1855893,0.24248877,0.12851083,0.1015623,-0.15685688,0.12359823,0.20390852,0.42567876,0.057425793,0.17755207,0.061725438,-0.17067719,0.28937218,0.22173771,-0.21732666,-0.20900396,-0.29418606,-0.3904288,-0.16598128,-0.01834807,0.164288,-0.26128367,0.21488214,-0.39706254,0.24907228,-0.075872295,-0.070685074,0.16646244,-0.17466591,-0.26439056
TCGA-EJ-7314-11A-01R-2118-07,-0.14099282,-0.036841907,-0.059448168,0.3982051,0.08887748,-0.58901584,-0.28126937,-0.23769021,-0.43477896,0.05086818,-0.0049656965,0.28873023,-0.24888723,0.30008128,0.0642,-0.3174764,0.023297932,-0.14097193,0.0131146265,-0.14763348,0.04061837,0.23201723,-0.119738765,0.20665884,-0.15008928,-0.022743579,0.2655183,0.3437069,0.042366352,-0.06799197,0.1533341,-0.31103638,0.27962315,0.26629552,-0.17072964,-0.22634442,-0.19889583,-0.2671683,-0.135788,-0.06408856,0.2180989,-0.21668316,0.18055241,-0.30982897,0.2801184,-0.21924445,-0.15151995,0.061554722,-0.17425282,-0.1695946
TCGA-EJ-7315-11A-01R-2118-07,-0.031160492,-0.17090039,-0.056401994,0.30655065,0.09038072,-0.37416843,-0.26289722,-0.24877803,-0.4754052,0.07824603,0.018531132,0.30395475,-0.19414844,0.2816418,0.26169044,-0.3521192,-0.028769288,-0.1633953,0.059550904,-0.12874943,0.11903371,0.20758614,-0.18591967,0.07381486,-0.08518688,-0.028845057,0.21164292,0.2382261,0.11865498,-0.11617327,0.08381141,-0.1292652,0.23576777,0.19094895,-0.14597632,-0.1572136,-0.21564889,-0.26281384,-0.17465611,-0.14249635,0.13853696,-0.12925278,0.11545959,-0.24654737,0.33006766,-0.23283677,-0.07563076,0.045654844,-0.19139588,-0.30403292
TCGA-EJ-7317-11A-01R-2118-07,-0.200862,0.09148446,-0.19945732,0.43851206,0.022513278,-0.64321935,-0.22090568,-0.23882605,-0.30271095,0.11970342,-0.009791799,0.24934751,-0.2152093,0.26493478,-0.04491286,-0.19588064,0.076000154,-0.24789569,-0.043330647,-0.1960108,0.09061168,0.20164745,-0.0064513437,0.34196982,-0.19222562,0.062407017,0.24922755,0.38196325,0.049572825,-0.0248703,0.2094784,-0.38735008,0.3255897,0.28766283,-0.20193575,-0.28610542,-0.21174137,-0.3245495,-0.16038577,0.010839778,0.22732632,-0.33113518,0.15545306,-0.32168218,0.24603988,-0.11121415,-0.10424577,0.065004624,-0.1628966,-0.21702486
TCGA-EJ-7321-11A-01R-2263-07,-0.18268672,0.015387685,-0.15566964,0.34459916,0.072064824,-0.5632729,-0.23230611,-0.22806099,-0.387419,0.21248756,-0.016309671,0.3515774,-0.12706369,0.23335871,0.018591309,-0.24634221,0.057522308,-0.14542025,-0.10259984,-0.24148116,0.14816484,0.23111026,0.014797981,0.33391106,-0.1635987,-0.0012960259,0.20117997,0.34946358,0.029346958,-0.041813247,0.12129207,-0.18552826,0.2291561,0.2279568,-0.16440016,-0.1764777,-0.2860974,-0.34166476,-0.21545878,-0.18614133,0.2032182,-0.21138348,0.1306449,-0.29933953,0.38706285,-0.23521279,-0.075386725,0.10408185,-0.15882526,-0.29360563
