gene,entrez
LOC100130426,100130426
UBE2Q2P3,100133144
UBE2Q2P2,100134869
HMGB1P1,10357
TIMM23,10431
MOXD2,136542
LOC155060,155060
RNU12-2P,26823
SSX9,280660
LOC317712,317712
CXorf67,340602
EFCAB8,388795
SRP14P1,390284
LOC391343,391343
TRIM75P,391714
SPATA31B1P,404770
REXO1L6P,441362
SDR16C6P,442388
LOC553137,553137
KIAA1618,57714
LOC645851,645851
RGPD7,652919
HSPB1P1,653553
PPBPP1,728045
FRMPD2P2,728603
ANKRD20A20P,728788
TMPRSS11E2,729884
GTPBP6,8225
EFCAB12,90288
A1BG,1
A1CF,29974
A2BP1,54715
A2LD1,87769
A2ML1,144568
A2M,2
A4GALT,53947
A4GNT,51146
AAA1,404744
AAAS,8086
AACSL,729522
AACS,65985
AADACL2,344752
AADACL3,126767
AADACL4,343066
AADAC,13
AADAT,51166
AAGAB,79719
AAK1,22848
AAMP,14
AANAT,15
AARS2,57505
AARSD1,80755
AARS,16
AASDHPPT,60496
AASDH,132949
AASS,10157
AATF,26574
AATK,9625
ABAT,18
ABCA10,10349
ABCA11P,79963
ABCA12,26154
ABCA13,154664
ABCA17P,650655
ABCA1,19
ABCA2,20
ABCA3,21
ABCA4,24
ABCA5,23461
ABCA6,23460
ABCA7,10347
ABCA8,10351
ABCA9,10350
ABCB10,23456
ABCB11,8647
ABCB1,5243
ABCB4,5244
ABCB5,340273
ABCB6,10058
ABCB7,22
ABCB8,11194
ABCB9,23457
ABCC10,89845
ABCC11,85320
ABCC12,94160
ABCC13,150000
ABCC1,4363
ABCC2,1244
ABCC3,8714
ABCC4,10257
ABCC5,10057
ABCC6P1,653190
ABCC6P2,730013
ABCC6,368
ABCC8,6833
ABCC9,10060
ABCD1,215
ABCD2,225
ABCD3,5825
ABCD4,5826
ABCE1,6059
ABCF1,23
ABCF2,10061
ABCF3,55324
ABCG1,9619
ABCG2,9429
ABCG4,64137
ABCG5,64240
ABCG8,64241
ABHD10,55347
ABHD11,83451
ABHD12B,145447
ABHD12,26090
ABHD13,84945
ABHD14A,25864
ABHD14B,84836
ABHD15,116236
ABHD1,84696
ABHD2,11057
ABHD3,171586
ABHD4,63874
ABHD5,51099
ABHD6,57406
ABHD8,79575
ABI1,10006
ABI2,10152
ABI3BP,25890
ABI3,51225
ABL1,25
ABL2,27
ABLIM1,3983
ABLIM2,84448
ABLIM3,22885
ABO,28
ABP1,26
ABRA,137735
ABR,29
ABT1,29777
ABTB1,80325
ABTB2,25841
ACAA1,30
ACAA2,10449
ACACA,31
ACACB,32
ACAD10,80724
ACAD11,84129
ACAD8,27034
ACAD9,28976
ACADL,33
ACADM,34
ACADSB,36
ACADS,35
ACADVL,37
ACAN,176
ACAP1,9744
ACAP2,23527
ACAP3,116983
ACAT1,38
ACAT2,39
ACBD3,64746
ACBD4,79777
ACBD5,91452
ACBD6,84320
ACBD7,414149
ACCN1,40
ACCN2,41
ACCN3,9311
ACCN4,55515
ACCN5,51802
ACCSL,390110
ACCS,84680
ACD,65057
ACE2,59272
ACER1,125981
ACER2,340485
ACER3,55331
ACE,1636
ACHE,43
ACIN1,22985
ACLY,47
ACMSD,130013
ACN9,57001
ACO1,48
ACO2,50
ACOT11,26027
ACOT12,134526
ACOT13,55856
ACOT1,641371
ACOT2,10965
ACOT4,122970
ACOT6,641372
ACOT7,11332
ACOT8,10005
ACOT9,23597
ACOX1,51
ACOX2,8309
ACOX3,8310
ACOXL,55289
ACP1,52
ACP2,53
ACP5,54
ACP6,51205
ACPL2,92370
ACPP,55
ACPT,93650
ACRBP,84519
ACRC,93953
ACRV1,56
ACR,49
ACSBG1,23205
ACSBG2,81616
ACSF2,80221
ACSF3,197322
ACSL1,2180
ACSL3,2181
ACSL4,2182
ACSL5,51703
ACSL6,23305
ACSM1,116285
ACSM2A,123876
ACSM2B,348158
ACSM3,6296
ACSM4,341392
ACSM5,54988
ACSS1,84532
ACSS2,55902
ACSS3,79611
ACTA1,58
ACTA2,59
ACTBL2,345651
ACTB,60
ACTC1,70
ACTG1,71
ACTG2,72
ACTL6A,86
ACTL6B,51412
ACTL7A,10881
ACTL7B,10880
ACTL8,81569
ACTL9,284382
ACTN1,87
ACTN2,88
ACTN3,89
ACTN4,81
ACTR10,55860
ACTR1A,10121
ACTR1B,10120
ACTR2,10097
ACTR3B,57180
ACTR3C,653857
ACTR3,10096
ACTR5,79913
ACTR6,64431
ACTR8,93973
ACTRT1,139741
ACTRT2,140625
ACVR1B,91
ACVR1C,130399
ACVR1,90
ACVR2A,92
ACVR2B,93
ACVRL1,94
ACY1,95
ACY3,91703
ACYP1,97
ACYP2,98
ADAD1,132612
ADAD2,161931
ADAL,161823
ADAM10,102
ADAM11,4185
ADAM12,8038
ADAM15,8751
ADAM17,6868
ADAM18,8749
ADAM19,8728
ADAM20,8748
ADAM21P1,145241
ADAM21,8747
ADAM22,53616
ADAM23,8745
ADAM28,10863
ADAM29,11086
ADAM2,2515
ADAM30,11085
ADAM32,203102
ADAM33,80332
ADAM3A,1587
ADAM5P,255926
ADAM6,8755
ADAM7,8756
ADAM8,101
ADAM9,8754
ADAMDEC1,27299
ADAMTS10,81794
ADAMTS12,81792
ADAMTS13,11093
ADAMTS14,140766
ADAMTS15,170689
ADAMTS16,170690
ADAMTS17,170691
ADAMTS18,170692
ADAMTS19,171019
ADAMTS1,9510
ADAMTS20,80070
ADAMTS2,9509
ADAMTS3,9508
ADAMTS4,9507
ADAMTS5,11096
ADAMTS6,11174
ADAMTS7,11173
ADAMTS8,11095
ADAMTS9,56999
ADAMTSL1,92949
ADAMTSL2,9719
ADAMTSL3,57188
ADAMTSL4,54507
ADAMTSL5,339366
ADAP1,11033
ADAP2,55803
ADARB1,104
ADARB2,105
ADAR,103
ADAT1,23536
ADAT2,134637
ADAT3,113179
ADA,100
ADCK1,57143
ADCK2,90956
ADCK4,79934
ADCK5,203054
ADCY10,55811
ADCY1,107
ADCY2,108
ADCY3,109
ADCY4,196883
ADCY5,111
ADCY6,112
ADCY7,113
ADCY8,114
ADCY9,115
ADCYAP1R1,117
ADCYAP1,116
ADC,113451
ADD1,118
ADD2,119
ADD3,120
ADH1A,124
ADH1B,125
ADH1C,126
ADH4,127
ADH5,128
ADH6,130
ADH7,131
ADHFE1,137872
ADI1,55256
ADIG,149685
ADIPOQ,9370
ADIPOR1,51094
ADIPOR2,79602
ADK,132
ADM2,79924
ADM,133
ADNP2,22850
ADNP,23394
ADORA1,134
ADORA2A,135
ADORA2B,136
ADORA3,140
ADO,84890
ADPGK,83440
ADPRHL1,113622
ADPRHL2,54936
ADPRH,141
ADRA1A,148
ADRA1B,147
ADRA1D,146
ADRA2A,150
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRB2,154
ADRB3,155
ADRBK1,156
ADRBK2,157
ADRM1,11047
ADSL,158
ADSSL1,122622
ADSS,159
AEBP1,165
AEBP2,121536
AEN,64782
AES,166
AFAP1L1,134265
AFAP1L2,84632
AFAP1,60312
AFARP1,246182
AFF1,4299
AFF2,2334
AFF3,3899
AFF4,27125
AFG3L1,172
AFG3L2,10939
AFMID,125061
AFM,173
AFP,174
AFTPH,54812
AG2,387763
AGAP11,119385
AGAP1,116987
AGAP2,116986
AGAP3,116988
AGAP4,119016
AGAP5,729092
AGAP6,414189
AGAP7,653268
AGAP8,728404
AGA,175
AGBL1,123624
AGBL2,79841
AGBL3,340351
AGBL4,84871
AGBL5,60509
AGER,177
AGFG1,3267
AGFG2,3268
AGGF1,55109
AGK,55750
AGL,178
AGMAT,79814
AGPAT1,10554
AGPAT2,10555
AGPAT3,56894
AGPAT4,56895
AGPAT5,55326
AGPAT6,137964
AGPAT9,84803
AGPHD1,123688
AGPS,8540
AGR2,10551
AGR3,155465
AGRN,375790
AGRP,181
AGTPBP1,23287
AGTR1,185
AGTR2,186
AGTRAP,57085
AGT,183
AGXT2L1,64850
AGXT2L2,85007
AGXT2,64902
AGXT,189
AHCTF1,25909
AHCYL1,10768
AHCYL2,23382
AHCY,191
AHDC1,27245
AHI1,54806
AHNAK2,113146
AHNAK,79026
AHRR,57491
AHR,196
AHSA1,10598
AHSA2,130872
AHSG,197
AHSP,51327
AICDA,57379
AIDA,64853
AIF1L,83543
AIF1,199
AIFM1,9131
AIFM2,84883
AIFM3,150209
AIG1,51390
AIM1L,55057
AIM1,202
AIM2,9447
AIMP1,9255
AIMP2,7965
AIPL1,23746
AIP,9049
AIRE,326
AJAP1,55966
AK1,203
AK2,204
AK3L1,205
AK3,50808
AK5,26289
AK7,122481
AKAP10,11216
AKAP11,11215
AKAP12,9590
AKAP13,11214
AKAP14,158798
AKAP1,8165
AKAP2,11217
AKAP3,10566
AKAP4,8852
AKAP5,9495
AKAP6,9472
AKAP7,9465
AKAP8L,26993
AKAP8,10270
AKAP9,10142
AKD1,221264
AKIRIN1,79647
AKIRIN2,55122
AKNAD1,254268
AKNA,80709
AKR1A1,10327
AKR1B10,57016
AKR1B15,441282
AKR1B1,231
AKR1C1,1645
AKR1C2,1646
AKR1C3,8644
AKR1C4,1109
AKR1CL1,340811
AKR1D1,6718
AKR1E2,83592
AKR7A2,8574
AKR7A3,22977
AKR7L,246181
AKT1S1,84335
AKT1,207
AKT2,208
AKT3,10000
AKTIP,64400
ALAD,210
ALAS1,211
ALAS2,212
ALB,213
ALCAM,214
ALDH16A1,126133
ALDH18A1,5832
ALDH1A1,216
ALDH1A2,8854
ALDH1A3,220
ALDH1B1,219
ALDH1L1,10840
ALDH1L2,160428
ALDH2,217
ALDH3A1,218
ALDH3A2,224
ALDH3B1,221
ALDH3B2,222
ALDH4A1,8659
ALDH5A1,7915
ALDH6A1,4329
ALDH7A1,501
ALDH8A1,64577
ALDH9A1,223
ALDOA,226
ALDOB,229
ALDOC,230
ALG10B,144245
ALG10,84920
ALG11,440138
ALG12,79087
ALG13,79868
ALG14,199857
ALG1L2,644974
ALG1L,200810
ALG1,56052
ALG2,85365
ALG3,10195
ALG5,29880
ALG6,29929
ALG8,79053
ALG9,79796
ALKBH1,8846
ALKBH2,121642
ALKBH3,221120
ALKBH4,54784
ALKBH5,54890
ALKBH6,84964
ALKBH7,84266
ALKBH8,91801
ALK,238
ALLC,55821
ALMS1P,200420
ALMS1,7840
ALOX12B,242
ALOX12P2,245
ALOX12,239
ALOX15B,247
ALOX15,246
ALOX5AP,241
ALOX5,240
ALOXE3,59344
ALPI,248
ALPK1,80216
ALPK2,115701
ALPK3,57538
ALPL,249
ALPPL2,251
ALPP,250
ALS2CL,259173
ALS2CR11,151254
ALS2CR12,130540
ALS2CR4,65062
ALS2CR8,79800
ALS2,57679
ALX1,8092
ALX3,257
ALX4,60529
AMAC1L2,83650
AMAC1L3,643664
AMAC1,146861
AMACR,23600
AMBN,258
AMBP,259
AMBRA1,55626
AMD1,262
AMDHD1,144193
AMDHD2,51005
AMELX,265
AMELY,266
AMFR,267
AMHR2,269
AMH,268
AMICA1,120425
AMIGO1,57463
AMIGO2,347902
AMIGO3,386724
AMMECR1L,83607
AMMECR1,9949
AMN1,196394
AMN,81693
AMOTL1,154810
AMOTL2,51421
AMOT,154796
AMPD1,270
AMPD2,271
AMPD3,272
AMPH,273
AMTN,401138
AMT,275
AMY1A,276
AMY2A,279
AMY2B,280
AMZ1,155185
AMZ2P1,201283
AMZ2,51321
ANAPC10,10393
ANAPC11,51529
ANAPC13,25847
ANAPC16,119504
ANAPC1,64682
ANAPC2,29882
ANAPC4,29945
ANAPC5,51433
ANAPC7,51434
ANGEL1,23357
ANGEL2,90806
ANGPT1,284
ANGPT2,285
ANGPT4,51378
ANGPTL1,9068
ANGPTL2,23452
ANGPTL3,27329
ANGPTL4,51129
ANGPTL5,253935
ANGPTL6,83854
ANGPTL7,10218
ANG,283
ANK1,286
ANK2,287
ANK3,288
ANKAR,150709
ANKDD1A,348094
ANKFN1,162282
ANKFY1,51479
ANKHD1-EIF4EBP3,404734
ANKHD1,54882
ANKH,56172
ANKIB1,54467
ANKK1,255239
ANKLE1,126549
ANKLE2,23141
ANKMY1,51281
ANKMY2,57037
ANKRA2,57763
ANKRD10,55608
ANKRD11,29123
ANKRD12,23253
ANKRD13A,88455
ANKRD13B,124930
ANKRD13C,81573
ANKRD13D,338692
ANKRD16,54522
ANKRD17,26057
ANKRD19,138649
ANKRD1,27063
ANKRD20A3,441425
ANKRD20A4,728747
ANKRD20B,729171
ANKRD22,118932
ANKRD23,200539
ANKRD24,170961
ANKRD26P1,124149
ANKRD26,22852
ANKRD27,84079
ANKRD28,23243
ANKRD29,147463
ANKRD2,26287
ANKRD30A,91074
ANKRD30B,374860
ANKRD31,256006
ANKRD32,84250
ANKRD33,341405
ANKRD34A,284615
ANKRD34B,340120
ANKRD34C,390616
ANKRD35,148741
ANKRD36BP1,84832
ANKRD36B,57730
ANKRD36,375248
ANKRD37,353322
ANKRD39,51239
ANKRD40,91369
ANKRD42,338699
ANKRD43,134548
ANKRD44,91526
ANKRD45,339416
ANKRD46,157567
ANKRD49,54851
ANKRD50,57182
ANKRD52,283373
ANKRD53,79998
ANKRD54,129138
ANKRD55,79722
ANKRD56,345079
ANKRD57,65124
ANKRD58,347454
ANKRD5,63926
ANKRD6,22881
ANKRD7,56311
ANKRD9,122416
ANKS1A,23294
ANKS1B,56899
ANKS3,124401
ANKS4B,257629
ANKS6,203286
ANKZF1,55139
ANLN,54443
ANO10,55129
ANO1,55107
ANO2,57101
ANO3,63982
ANO4,121601
ANO5,203859
ANO6,196527
ANO7,50636
ANO8,57719
ANO9,338440
ANP32A,8125
ANP32B,10541
ANP32C,23520
ANP32D,23519
ANP32E,81611
ANPEP,290
ANTXR1,84168
ANTXR2,118429
ANTXRL,195977
ANUBL1,93550
ANXA10,11199
ANXA11,311
ANXA13,312
ANXA1,301
ANXA2P1,303
ANXA2P2,304
ANXA2P3,305
ANXA2,302
ANXA3,306
ANXA4,307
ANXA5,308
ANXA6,309
ANXA7,310
ANXA8L1,728113
ANXA8L2,244
ANXA8,653145
ANXA9,8416
AOAH,313
AOC2,314
AOC3,8639
AOX1,316
AOX2P,344454
AP1AR,55435
AP1B1,162
AP1G1,164
AP1G2,8906
AP1M1,8907
AP1M2,10053
AP1S1,1174
AP1S2,8905
AP1S3,130340
AP2A1,160
AP2A2,161
AP2B1,163
AP2M1,1173
AP2S1,1175
AP3B1,8546
AP3B2,8120
AP3D1,8943
AP3M1,26985
AP3M2,10947
AP3S1,1176
AP3S2,10239
AP4B1,10717
AP4E1,23431
AP4M1,9179
AP4S1,11154
APAF1,317
APBA1,320
APBA2,321
APBA3,9546
APBB1IP,54518
APBB1,322
APBB2,323
APBB3,10307
APC2,10297
APCDD1L,164284
APCDD1,147495
APCS,325
APC,324
APEH,327
APEX1,328
APEX2,27301
APH1A,51107
APH1B,83464
API5,8539
APIP,51074
APITD1,378708
APLF,200558
APLNR,187
APLN,8862
APLP1,333
APLP2,334
APOA1BP,128240
APOA1,335
APOA2,336
APOA4,337
APOA5,116519
APOB48R,55911
APOBEC1,339
APOBEC2,10930
APOBEC3A,200315
APOBEC3B,9582
APOBEC3C,27350
APOBEC3D,140564
APOBEC3F,200316
APOBEC3G,60489
APOBEC3H,164668
APOBEC4,403314
APOB,338
APOC1P1,342
APOC1,341
APOC2,344
APOC3,345
APOC4,346
APOD,347
APOE,348
APOF,319
APOH,350
APOL1,8542
APOL2,23780
APOL3,80833
APOL4,80832
APOL5,80831
APOL6,80830
APOLD1,81575
APOM,55937
APOOL,139322
APOO,79135
APPBP2,10513
APPL1,26060
APPL2,55198
APP,351
APRT,353
APTX,54840
AQP10,89872
AQP11,282679
AQP12A,375318
AQP12B,653437
AQP1,358
AQP2,359
AQP3,360
AQP4,361
AQP5,362
AQP6,363
AQP7P1,375719
AQP7P3,441432
AQP7,364
AQP8,343
AQP9,366
AQPEP,206338
AQR,9716
ARAF,369
ARAP1,116985
ARAP2,116984
ARAP3,64411
ARCN1,372
ARC,23237
AREG,374
ARF1,375
ARF3,377
ARF4,378
ARF5,381
ARF6,382
ARFGAP1,55738
ARFGAP2,84364
ARFGAP3,26286
ARFGEF1,10565
ARFGEF2,10564
ARFIP1,27236
ARFIP2,23647
ARFRP1,10139
ARG1,383
ARG2,384
ARGFXP2,503640
ARGFX,503582
ARGLU1,55082
ARHGAP10,79658
ARHGAP11A,9824
ARHGAP11B,89839
ARHGAP12,94134
ARHGAP15,55843
ARHGAP17,55114
ARHGAP18,93663
ARHGAP19,84986
ARHGAP1,392
ARHGAP20,57569
ARHGAP21,57584
ARHGAP22,58504
ARHGAP23,57636
ARHGAP24,83478
ARHGAP25,9938
ARHGAP26,23092
ARHGAP27,201176
ARHGAP28,79822
ARHGAP29,9411
ARHGAP30,257106
ARHGAP31,57514
ARHGAP32,9743
ARHGAP33,115703
ARHGAP36,158763
ARHGAP39,80728
ARHGAP42,143872
ARHGAP4,393
ARHGAP5,394
ARHGAP6,395
ARHGAP8,23779
ARHGAP9,64333
